,id,date,time,quantity,location,unit_price,category,product,detail,sales,month,day,year,weekday,hour,time_of_day
0,1,2023-01-01,07:06:11,2,Lower Manhattan,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,6.0,January,1,2023,Sunday,7,Morning
1,2,2023-01-01,07:08:56,2,Lower Manhattan,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,January,1,2023,Sunday,7,Morning
2,3,2023-01-01,07:14:04,2,Lower Manhattan,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,January,1,2023,Sunday,7,Morning
3,4,2023-01-01,07:20:24,1,Lower Manhattan,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,January,1,2023,Sunday,7,Morning
4,5,2023-01-01,07:22:41,2,Lower Manhattan,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,6.2,January,1,2023,Sunday,7,Morning
5,6,2023-01-01,07:22:41,1,Lower Manhattan,3.0,Bakery,Scone,Oatmeal Scone,3.0,January,1,2023,Sunday,7,Morning
6,7,2023-01-01,07:25:49,1,Lower Manhattan,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,January,1,2023,Sunday,7,Morning
7,8,2023-01-01,07:33:34,2,Lower Manhattan,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,4.0,January,1,2023,Sunday,7,Morning
8,9,2023-01-01,07:39:13,1,Lower Manhattan,4.25,Coffee,Barista Espresso,Latte Rg,4.25,January,1,2023,Sunday,7,Morning
9,10,2023-01-01,07:39:34,2,Lower Manhattan,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,7.0,January,1,2023,Sunday,7,Morning
10,11,2023-01-01,07:43:05,1,Lower Manhattan,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,January,1,2023,Sunday,7,Morning
11,12,2023-01-01,07:44:35,2,Lower Manhattan,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,January,1,2023,Sunday,7,Morning
12,13,2023-01-01,07:45:51,1,Lower Manhattan,3.0,Tea,Brewed Black tea,Earl Grey Lg,3.0,January,1,2023,Sunday,7,Morning
13,14,2023-01-01,07:48:19,1,Lower Manhattan,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,January,1,2023,Sunday,7,Morning
14,15,2023-01-01,07:52:36,2,Lower Manhattan,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,6.0,January,1,2023,Sunday,7,Morning
15,16,2023-01-01,07:59:58,2,Lower Manhattan,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,January,1,2023,Sunday,7,Morning
16,17,2023-01-01,07:59:58,1,Lower Manhattan,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,January,1,2023,Sunday,7,Morning
17,18,2023-01-01,08:00:18,1,Hell's Kitchen,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,January,1,2023,Sunday,8,Morning
18,19,2023-01-01,08:00:39,2,Hell's Kitchen,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,9.0,January,1,2023,Sunday,8,Morning
19,20,2023-01-01,08:11:45,1,Hell's Kitchen,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.75,January,1,2023,Sunday,8,Morning
20,21,2023-01-01,08:17:27,2,Hell's Kitchen,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,7.0,January,1,2023,Sunday,8,Morning
21,22,2023-01-01,08:24:26,2,Lower Manhattan,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,January,1,2023,Sunday,8,Morning
22,23,2023-01-01,08:24:26,1,Lower Manhattan,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,January,1,2023,Sunday,8,Morning
23,24,2023-01-01,08:29:38,1,Hell's Kitchen,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,January,1,2023,Sunday,8,Morning
24,25,2023-01-01,08:31:23,1,Hell's Kitchen,3.75,Coffee,Barista Espresso,Cappuccino,3.75,January,1,2023,Sunday,8,Morning
25,26,2023-01-01,08:33:08,1,Lower Manhattan,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,January,1,2023,Sunday,8,Morning
26,27,2023-01-01,08:33:08,1,Lower Manhattan,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,January,1,2023,Sunday,8,Morning
27,28,2023-01-01,08:35:03,2,Lower Manhattan,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,January,1,2023,Sunday,8,Morning
28,29,2023-01-01,08:35:03,1,Lower Manhattan,3.75,Bakery,Pastry,Chocolate Croissant,3.75,January,1,2023,Sunday,8,Morning
29,30,2023-01-01,08:41:57,2,Hell's Kitchen,3.75,Coffee,Barista Espresso,Cappuccino,7.5,January,1,2023,Sunday,8,Morning
30,31,2023-01-01,08:52:03,1,Hell's Kitchen,3.75,Coffee,Barista Espresso,Latte,3.75,January,1,2023,Sunday,8,Morning
31,32,2023-01-01,08:52:32,1,Lower Manhattan,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,January,1,2023,Sunday,8,Morning
32,33,2023-01-01,08:54:33,2,Lower Manhattan,3.5,Coffee,Organic brewed coffee,Brazilian Lg,7.0,January,1,2023,Sunday,8,Morning
33,34,2023-01-01,08:56:27,2,Lower Manhattan,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,5.0,January,1,2023,Sunday,8,Morning
34,35,2023-01-01,08:57:46,1,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,January,1,2023,Sunday,8,Morning
35,36,2023-01-01,08:58:55,1,Lower Manhattan,3.0,Coffee,Organic brewed coffee,Brazilian Rg,3.0,January,1,2023,Sunday,8,Morning
36,37,2023-01-01,09:00:12,1,Lower Manhattan,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,4.0,January,1,2023,Sunday,9,Morning
37,38,2023-01-01,09:00:24,2,Hell's Kitchen,3.75,Coffee,Barista Espresso,Cappuccino,7.5,January,1,2023,Sunday,9,Morning
38,39,2023-01-01,09:07:13,1,Hell's Kitchen,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,January,1,2023,Sunday,9,Morning
39,40,2023-01-01,09:08:09,2,Hell's Kitchen,3.0,Tea,Brewed herbal tea,Peppermint Lg,6.0,January,1,2023,Sunday,9,Morning
40,41,2023-01-01,09:08:13,1,Hell's Kitchen,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,January,1,2023,Sunday,9,Morning
41,42,2023-01-01,09:10:30,2,Lower Manhattan,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,7.5,January,1,2023,Sunday,9,Morning
42,43,2023-01-01,09:10:30,1,Lower Manhattan,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,January,1,2023,Sunday,9,Morning
43,44,2023-01-01,09:11:06,1,Lower Manhattan,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,January,1,2023,Sunday,9,Morning
44,45,2023-01-01,09:11:06,1,Lower Manhattan,3.0,Bakery,Scone,Oatmeal Scone,3.0,January,1,2023,Sunday,9,Morning
45,46,2023-01-01,09:13:01,1,Lower Manhattan,2.5,Tea,Brewed herbal tea,Peppermint Rg,2.5,January,1,2023,Sunday,9,Morning
46,47,2023-01-01,09:13:15,2,Lower Manhattan,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,5.1,January,1,2023,Sunday,9,Morning
47,48,2023-01-01,09:14:16,1,Lower Manhattan,2.5,Tea,Brewed Black tea,English Breakfast Rg,2.5,January,1,2023,Sunday,9,Morning
48,49,2023-01-01,09:14:17,1,Hell's Kitchen,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,January,1,2023,Sunday,9,Morning
49,50,2023-01-01,09:14:25,1,Hell's Kitchen,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,January,1,2023,Sunday,9,Morning
50,51,2023-01-01,09:14:41,1,Hell's Kitchen,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,January,1,2023,Sunday,9,Morning
51,52,2023-01-01,09:15:09,2,Lower Manhattan,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,6.0,January,1,2023,Sunday,9,Morning
52,53,2023-01-01,09:15:13,2,Lower Manhattan,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,6.0,January,1,2023,Sunday,9,Morning
53,54,2023-01-01,09:19:21,2,Lower Manhattan,2.2,Coffee,Organic brewed coffee,Brazilian Sm,4.4,January,1,2023,Sunday,9,Morning
54,55,2023-01-01,09:19:26,1,Hell's Kitchen,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.5,January,1,2023,Sunday,9,Morning
55,56,2023-01-01,09:21:08,1,Lower Manhattan,3.75,Coffee,Barista Espresso,Latte,3.75,January,1,2023,Sunday,9,Morning
56,57,2023-01-01,09:22:17,1,Hell's Kitchen,3.0,Tea,Brewed herbal tea,Peppermint Lg,3.0,January,1,2023,Sunday,9,Morning
57,58,2023-01-01,09:22:46,1,Lower Manhattan,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,January,1,2023,Sunday,9,Morning
58,59,2023-01-01,09:29:56,2,Hell's Kitchen,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,7.5,January,1,2023,Sunday,9,Morning
59,60,2023-01-01,09:29:56,1,Hell's Kitchen,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,January,1,2023,Sunday,9,Morning
60,61,2023-01-01,09:29:57,1,Hell's Kitchen,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,January,1,2023,Sunday,9,Morning
61,62,2023-01-01,09:34:17,2,Hell's Kitchen,4.25,Coffee,Barista Espresso,Cappuccino Lg,8.5,January,1,2023,Sunday,9,Morning
